content,processed_text
"Aplikasinya bagus,tapi drivernya kadang tidak ramah,sistem report driver nya pun tidak ada jadi kurang banget lah kelengkapan fitur di aplikasi ini","['aplikasi', 'bagustapi', 'drivernya', 'kadang', 'ramahsistem', 'report', 'driver', 'nya', 'tidak', 'jadi', 'kurang', 'banget', 'lah', 'lengkap', 'fitur', 'aplikasi']"
Driver selalu minta pembulatan harga yang tak wajar,"['driver', 'selalu', 'minta', 'bulat', 'harga', 'tak', 'wajar']"
"Banyak maxim mobil yang kurang sopan dan kasar,di anter gk sesuai tujuan. Di jemput nggak sesuai lokasi,bukannya nyamperin malah pelanggan yg di suruh nyamperin,habis itu marah"" pula Dan kejadian seperti itu berkali-kali","['banyak', 'maxim', 'mobil', 'kurang', 'sopan', 'kasardi', 'anter', 'gk', 'sesuai', 'tuju', 'jemput', 'sesuai', 'lokasibukannya', 'nyamperin', 'malah', 'langgan', 'yg', 'suruh', 'nyamperinhabis', 'marah', 'dan', 'jadi', 'itu', 'berkalikali']"
"Pas mau chek out tampilann selalu blank, pdhl baru instal baru pertama kali mau pesan makanan, ehh malah gajelas","['pas', 'mau', 'chek', 'out', 'tampilann', 'selalu', 'blank', 'pdhl', 'baru', 'instal', 'baru', 'pertama', 'kali', 'mau', 'pesan', 'makan', 'ehh', 'malah', 'gajelas']"
"ni yang ngasih orderan ngotak dikit dong, driver di deket maps saya banyak kenapa malah di kasih selalu yang jauh? orang lagi buru buru suruh nunggu sejam gila bener bener bukan sekali dua kali lho nyesel banget!!!","['ni', 'ngasih', 'order', 'ngotak', 'dikit', 'dong', 'driver', 'deket', 'maps', 'banyak', 'malah', 'kasih', 'selalu', 'jauh', 'orang', 'buru', 'buru', 'suruh', 'nunggu', 'jam', 'gila', 'bener', 'bener', 'bukan', 'sekali', 'kali', 'lho', 'nyesel', 'banget']"
"Baru kali ini saya pesan gosen tidak nyampe tujuan,tiba² beralih ke driver lain,saya sangat kecewa dg Maxim!!!barang saya hilang!!!😡😡","['baru', 'kali', 'pesan', 'gosen', 'nyampe', 'tujuantiba', 'alih', 'driver', 'lainsaya', 'sangat', 'kecewa', 'dg', 'maximbarang', 'saya', 'hilang']"
"mengsesarakan driver, jarak rute di potong, mapnya juga masih amburadul.","['mengsesarakan', 'driver', 'jarak', 'rute', 'potong', 'map', 'masih', 'amburadul']"
Awal ny gampang si TPI Uda lama pakai apl ini malah minta kode lagi.mending kode langsung dikirim ini ga di kirim kirim lagi.ga bisa lagi digunakan jadinya,"['awal', 'ny', 'gampang', 'si', 'tpi', 'uda', 'lama', 'pakai', 'apl', 'malah', 'minta', 'kode', 'lagimending', 'kode', 'langsung', 'kirim', 'ga', 'kirim', 'kirim', 'lagiga', 'lagi', 'guna', 'jadi']"
Apk tidak bertanggung jawab. Barang hilang tidak mau bertanggung jawab!!,"['apk', 'tanggung', 'jawab', 'barang', 'hilang', 'mau', 'tanggung', 'jawab']"
telpon tidak bisa di gunakan,"['telpon', 'bisa', 'guna']"
"Kepada pihak maxim...saya sebagai driver maxim ride. Coba tolong di filter orderannya.. Banyak sekali orderan fiktif, saya yakin pihak maxim tahu masalah ini, tapi seolah membiarkan saja. Apakah ada kerjasama dengan pemberi order tersebut? Saya pernah mengalami order fiktif berdana talangan. Lalu berujung telpon penipuan.. Lalu peran anda di sini apakah hanya penyedia aplikasi dan mengeruk keuntungan dari para driver? Tidak ada solusi yang membantu. Sudah tarif murah dan banyaknya order fiktif..","['pihak', 'maximsaya', 'driver', 'maxim', 'ride', 'coba', 'di', 'filter', 'order', 'banyak', 'sekali', 'order', 'fiktif', 'yakin', 'pihak', 'maxim', 'tahu', 'masalah', 'tapi', 'biar', 'kerjasama', 'beri', 'order', 'sebut', 'pernah', 'alami', 'order', 'fiktif', 'dana', 'talang', 'lalu', 'ujung', 'telpon', 'tipu', 'lalu', 'peran', 'di', 'sini', 'apakah', 'hanya', 'sedia', 'aplikasi', 'keruk', 'untung', 'para', 'driver', 'ada', 'solusi', 'bantu', 'tarif', 'murah', 'banyak', 'order', 'fiktif']"
GAK JELAS TIBA TIBA AKUN GUA KELUAR SENDIRI APK ANEH ORNG GAK LOG OUT SEKALI MAU LOGIN LAGI GK ADA CODE YANG MASUK MINTA CODE DARI TELEPON MALAH LANGSUNG MATI SEBELUM NGASIH NOMOR CODE GAK JELAS BANGET SUMPAH DEVELOPER NYA GMNA SIH YANG BNER LAH,"['gak', 'jelas', 'tiba', 'tiba', 'akun', 'gua', 'keluar', 'sendiri', 'apk', 'aneh', 'orng', 'gak', 'log', 'out', 'sekali', 'mau', 'login', 'gk', 'code', 'masuk', 'minta', 'code', 'telepon', 'malah', 'langsung', 'mati', 'ngasih', 'nomor', 'code', 'gak', 'jelas', 'banget', 'sumpah', 'developer', 'nya', 'gmna', 'sih', 'bner', 'lah']"
Jelek banget aplikasi nya susah banget mau dapat pengemudinya,"['jelek', 'banget', 'aplikasi', 'nya', 'susah', 'banget', 'mau', 'mud']"
"mau masukin alamat aj repot bet njirr,,sama mo mesen makanan cek keranjang mlah white screen padahal sinyal lancarr","['mau', 'masukin', 'alamat', 'aj', 'repot', 'bet', 'njirrsama', 'mo', 'mesen', 'makan', 'cek', 'keranjang', 'mlah', 'white', 'screen', 'padahal', 'sinyal', 'lancarr']"
